Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.01.03 04:00:00,2,EURUSD,sell,0.08 / 0.08,, 1.20529,,,2018.01.03 04:00:00,,filled,,
2018.01.03 08:00:00,3,EURUSD,buy,0.08 / 0.08,, 1.20583,,,2018.01.03 08:00:00,,filled,,
2018.01.03 09:00:00,4,EURUSD,sell,0.08 / 0.08,, 1.20448,,,2018.01.03 09:00:00,,filled,,
2018.01.08 04:00:00,5,EURUSD,buy,0.08 / 0.08,, 1.20446,,,2018.01.08 04:00:00,,filled,,
2018.01.08 05:00:00,6,EURUSD,sell,0.08 / 0.08,, 1.20358,,,2018.01.08 05:00:00,,filled,,
2018.01.10 03:00:00,7,EURUSD,buy,0.08 / 0.08,, 1.19377,,,2018.01.10 03:00:00,,filled,,
2018.01.10 08:00:00,8,EURUSD,sell,0.09 / 0.09,, 1.19280,,,2018.01.10 08:00:00,,filled,,
2018.01.10 10:00:00,9,EURUSD,buy,0.09 / 0.09,, 1.19349,,,2018.01.10 10:00:00,,filled,,
2018.01.11 15:00:00,10,EURUSD,buy,0.08 / 0.08,, 1.20042,,,2018.01.11 15:00:00,,filled,,
2018.01.16 03:00:00,11,EURUSD,sell,0.08 / 0.08,, 1.22623,,,2018.01.16 03:00:00,,filled,,
2018.01.16 06:00:00,12,EURUSD,sell,0.09 / 0.09,, 1.22577,,,2018.01.16 06:00:00,,filled,,
2018.01.16 09:00:00,13,EURUSD,buy,0.09 / 0.09,, 1.22672,,,2018.01.16 09:00:00,,filled,,
2018.01.16 10:00:00,14,EURUSD,sell,0.09 / 0.09,, 1.22467,,,2018.01.16 10:00:00,,filled,,
2018.01.17 20:00:00,15,EURUSD,buy,0.09 / 0.09,, 1.22518,,,2018.01.17 20:00:00,,filled,,
2018.01.17 23:00:00,16,EURUSD,sell,0.01 / 0.01,, 1.22170,,,2018.01.17 23:00:00,,filled,,
2018.01.18 12:00:00,17,EURUSD,buy,0.01 / 0.01,, 1.22146,,,2018.01.18 12:00:00,,filled,,
2018.01.19 04:00:00,18,EURUSD,buy,0.09 / 0.09,, 1.22436,,,2018.01.19 04:00:00,,filled,,
2018.01.19 16:00:00,19,EURUSD,sell,0.09 / 0.09,, 1.22434,,,2018.01.19 16:00:00,,filled,,
2018.01.22 03:00:00,20,EURUSD,sell,0.09 / 0.09,, 1.22444,,,2018.01.22 03:00:00,,filled,,
2018.01.22 10:00:00,21,EURUSD,buy,0.09 / 0.09,, 1.22373,,,2018.01.22 10:00:00,,filled,,
2018.01.22 19:00:00,22,EURUSD,sell,0.09 / 0.09,, 1.22286,,,2018.01.22 19:00:00,,filled,,
2018.01.22 20:00:00,23,EURUSD,buy,0.09 / 0.09,, 1.22437,,,2018.01.22 20:00:00,,filled,,
2018.01.23 09:00:00,24,EURUSD,sell,0.09 / 0.09,, 1.22478,,,2018.01.23 09:00:00,,filled,,
2018.01.23 16:00:00,25,EURUSD,buy,0.09 / 0.09,, 1.22587,,,2018.01.23 16:00:00,,filled,,
2018.01.25 11:00:00,26,EURUSD,sell,0.01 / 0.01,, 1.23966,,,2018.01.25 11:00:00,,filled,,
2018.01.25 12:00:00,27,EURUSD,buy,0.01 / 0.01,, 1.24319,,,2018.01.25 12:00:00,,filled,,
2018.01.25 13:00:00,28,EURUSD,sell,0.01 / 0.01,, 1.24134,,,2018.01.25 13:00:00,,filled,,
2018.01.25 16:00:00,29,EURUSD,buy,0.01 / 0.01,, 1.24968,,,2018.01.25 16:00:00,,filled,,
2018.01.25 22:00:00,30,EURUSD,sell,0.01 / 0.01,, 1.23901,,,2018.01.25 22:00:00,,filled,,
2018.01.26 09:00:00,31,EURUSD,buy,0.01 / 0.01,, 1.24506,,,2018.01.26 09:00:00,,filled,,
2018.01.26 17:00:00,32,EURUSD,buy,0.01 / 0.01,, 1.24414,,,2018.01.26 17:00:00,,filled,,
2018.01.26 18:00:00,33,EURUSD,sell,0.01 / 0.01,, 1.24327,,,2018.01.26 18:00:00,,filled,,
2018.01.26 21:00:00,34,EURUSD,buy,0.01 / 0.01,, 1.24443,,,2018.01.26 21:00:00,,filled,,
2018.01.30 02:00:00,35,EURUSD,sell,0.01 / 0.01,, 1.23810,,,2018.01.30 02:00:00,,filled,,
2018.01.30 03:00:00,36,EURUSD,sell,0.01 / 0.01,, 1.23763,,,2018.01.30 03:00:00,,filled,,
2018.01.30 04:00:00,37,EURUSD,buy,0.01 / 0.01,, 1.23854,,,2018.01.30 04:00:00,,filled,,
2018.01.30 05:00:00,38,EURUSD,sell,0.01 / 0.01,, 1.23691,,,2018.01.30 05:00:00,,filled,,
2018.01.30 06:00:00,39,EURUSD,buy,0.01 / 0.01,, 1.23788,,,2018.01.30 06:00:00,,filled,,
2018.01.30 07:00:00,40,EURUSD,sell,0.01 / 0.01,, 1.23713,,,2018.01.30 07:00:00,,filled,,
2018.01.30 11:00:00,41,EURUSD,buy,0.01 / 0.01,, 1.23828,,,2018.01.30 11:00:00,,filled,,
2018.01.30 22:00:00,42,EURUSD,buy,0.01 / 0.01,, 1.24054,,,2018.01.30 22:00:00,,filled,,
2018.01.30 23:00:00,43,EURUSD,sell,0.01 / 0.01,, 1.23946,,,2018.01.30 23:00:00,,filled,,
2018.01.31 00:00:00,44,EURUSD,buy,0.01 / 0.01,, 1.24027,,,2018.01.31 00:00:00,,filled,,
2018.01.31 19:00:00,45,EURUSD,sell,0.01 / 0.01,, 1.24271,,,2018.01.31 19:00:00,,filled,,
2018.02.01 11:00:00,46,EURUSD,buy,0.08 / 0.08,, 1.24284,,,2018.02.01 11:00:00,,filled,,
2018.02.02 11:00:00,47,EURUSD,sell,0.08 / 0.08,, 1.24935,,,2018.02.02 11:00:00,,filled,,
2018.02.05 05:00:00,48,EURUSD,buy,0.08 / 0.08,, 1.24612,,,2018.02.05 05:00:00,,filled,,
2018.02.05 06:00:00,49,EURUSD,sell,0.08 / 0.08,, 1.24548,,,2018.02.05 06:00:00,,filled,,
2018.02.05 11:00:00,50,EURUSD,buy,0.08 / 0.08,, 1.24623,,,2018.02.05 11:00:00,,filled,,
2018.02.05 14:00:00,51,EURUSD,sell,0.08 / 0.08,, 1.24476,,,2018.02.05 14:00:00,,filled,,
2018.02.06 10:00:00,52,EURUSD,buy,0.01 / 0.01,, 1.23960,,,2018.02.06 10:00:00,,filled,,
2018.02.06 14:00:00,53,EURUSD,sell,0.01 / 0.01,, 1.23726,,,2018.02.06 14:00:00,,filled,,
2018.02.06 23:00:00,54,EURUSD,sell,0.01 / 0.01,, 1.23706,,,2018.02.06 23:00:00,,filled,,
2018.02.07 00:00:00,55,EURUSD,buy,0.01 / 0.01,, 1.23779,,,2018.02.07 00:00:00,,filled,,
2018.02.08 16:00:00,56,EURUSD,buy,0.01 / 0.01,, 1.22757,,,2018.02.08 16:00:00,,filled,,
