Time,Deal,Symbol,Type,Direction,Volume,Price,Order,Commission,Swap,Profit,Balance,Comment,
2018.01.01 00:00:00,1,,balance,,,,,0.00,0.00,5 000.00,5 000.00,,
2018.01.02 00:00:00,2,EURUSD,sell,in,0.01, 1.20088,2,0.00,0.00,0.00,5 000.00,,
2018.01.08 12:48:40,3,EURUSD,buy,out,0.01, 1.20060,3,0.00,- 0.06, 0.28,5 000.22,sl 1.20060,
2018.01.08 13:00:00,4,EURUSD,sell,in,0.01, 1.20036,4,0.00,0.00,0.00,5 000.22,,
2018.01.08 18:21:40,5,EURUSD,buy,out,0.01, 1.19803,5,0.00,0.00, 2.33,5 002.55,sl 1.19803,
2018.01.08 18:30:00,6,EURUSD,sell,in,0.01, 1.19776,6,0.00,0.00,0.00,5 002.55,,
2018.01.08 19:08:20,7,EURUSD,buy,out,0.01, 1.19762,7,0.00,0.00, 0.14,5 002.69,sl 1.19762,
2018.01.08 19:30:00,8,EURUSD,sell,in,0.01, 1.19724,8,0.00,0.00,0.00,5 002.69,,
2018.01.09 00:00:40,9,EURUSD,buy,out,0.01, 1.19685,9,0.00,- 0.01, 0.39,5 003.07,sl 1.19685,
2018.01.09 00:30:00,10,EURUSD,sell,in,0.01, 1.19662,10,0.00,0.00,0.00,5 003.07,,
2018.01.09 16:11:40,11,EURUSD,buy,out,0.01, 1.19316,11,0.00,0.00, 3.46,5 006.53,sl 1.19316,
2018.01.09 16:30:00,12,EURUSD,sell,in,0.01, 1.19284,12,0.00,0.00,0.00,5 006.53,,
2018.01.09 17:38:40,13,EURUSD,buy,out,0.01, 1.19277,13,0.00,0.00, 0.07,5 006.60,sl 1.19277,
2018.01.09 18:00:00,14,EURUSD,sell,in,0.01, 1.19298,14,0.00,0.00,0.00,5 006.60,,
2018.01.09 18:33:40,15,EURUSD,buy,out,0.01, 1.19261,15,0.00,0.00, 0.37,5 006.97,sl 1.19261,
2018.01.09 19:00:00,16,EURUSD,sell,in,0.01, 1.19212,16,0.00,0.00,0.00,5 006.97,,
2018.05.07 17:04:40,17,EURUSD,buy,out,0.01, 1.19195,17,0.00,- 1.18, 0.17,5 005.96,sl 1.19195,
2018.05.07 17:30:00,18,EURUSD,sell,in,0.01, 1.19219,18,0.00,0.00,0.00,5 005.96,,
2018.05.07 18:03:40,19,EURUSD,buy,out,0.01, 1.19174,19,0.00,0.00, 0.45,5 006.41,sl 1.19174,
2018.05.07 18:30:00,20,EURUSD,sell,in,0.01, 1.19219,20,0.00,0.00,0.00,5 006.41,,
2018.05.08 10:00:40,21,EURUSD,buy,out,0.01, 1.19201,21,0.00,- 0.01, 0.18,5 006.58,sl 1.19201,
2018.05.08 10:30:00,22,EURUSD,sell,in,0.01, 1.19117,22,0.00,0.00,0.00,5 006.58,,
2018.05.08 18:36:40,23,EURUSD,buy,out,0.01, 1.18647,23,0.00,0.00, 4.70,5 011.28,sl 1.18647,
2018.05.08 19:00:00,24,EURUSD,sell,in,0.01, 1.18627,24,0.00,0.00,0.00,5 011.28,,
2018.05.09 06:30:20,25,EURUSD,buy,out,0.01, 1.18587,25,0.00,- 0.01, 0.40,5 011.67,sl 1.18587,
2018.05.09 07:00:00,26,EURUSD,sell,in,0.01, 1.18520,26,0.00,0.00,0.00,5 011.67,,
2018.05.09 11:25:40,27,EURUSD,buy,out,0.01, 1.18472,27,0.00,0.00, 0.48,5 012.15,sl 1.18472,
