2018.01.01 00:00:00,1,,balance,,,,,0.00,0.00,5 000.00,5 000.00,,
2018.01.08 03:09:40,2,EURUSD,buy,in,0.10, 1.20468,2,0.00,0.00,0.00,5 000.00,,
2018.01.10 20:00:00,3,EURUSD,sell,out,0.10, 1.19601,3,0.00,- 0.14,- 86.70,4 913.16,,
2018.01.10 20:00:20,4,EURUSD,sell,in,0.10, 1.19592,4,0.00,0.00,0.00,4 913.16,,
2018.01.17 18:00:00,5,EURUSD,buy,out,0.10, 1.22420,5,0.00,- 0.70,- 282.80,4 629.66,,
2018.01.17 18:00:20,6,EURUSD,buy,in,0.10, 1.22429,6,0.00,0.00,0.00,4 629.66,,
2018.01.17 21:37:20,7,EURUSD,sell,out,0.10, 1.22581,7,0.00,0.00, 15.20,4 644.86,sl 1.22581,
2018.01.19 15:04:40,8,EURUSD,sell,in,0.10, 1.22507,8,0.00,0.00,0.00,4 644.86,,
2018.01.22 00:00:00,9,EURUSD,buy,out,0.10, 1.22450,9,0.00,- 0.10, 5.70,4 650.46,sl 1.22450,
2018.01.22 10:09:20,10,EURUSD,buy,in,0.10, 1.22458,10,0.00,0.00,0.00,4 650.46,,
2018.01.23 07:00:00,11,EURUSD,sell,out,0.10, 1.22596,11,0.00,- 0.07, 13.80,4 664.19,,
2018.01.23 07:29:40,12,EURUSD,sell,in,0.10, 1.22517,12,0.00,0.00,0.00,4 664.19,,
2018.01.29 09:07:40,13,EURUSD,buy,out,0.10, 1.24271,13,0.00,- 0.60,- 175.40,4 488.19,,
2018.01.29 09:08:20,14,EURUSD,buy,in,0.10, 1.24290,14,0.00,0.00,0.00,4 488.19,,
2018.01.30 20:08:40,15,EURUSD,sell,out,0.10, 1.23988,15,0.00,- 0.07,- 30.20,4 457.92,,
2018.01.30 20:09:40,16,EURUSD,sell,in,0.10, 1.23956,16,0.00,0.00,0.00,4 457.92,,
2018.02.05 04:45:20,17,EURUSD,buy,out,0.10, 1.24592,17,0.00,- 0.60,- 63.60,4 393.72,,
2018.02.06 19:07:40,18,EURUSD,buy,in,0.10, 1.23869,18,0.00,0.00,0.00,4 393.72,,
2018.02.12 12:00:00,19,EURUSD,sell,out,0.10, 1.22637,19,0.00,- 0.42,- 123.20,4 270.10,,
2018.02.12 12:00:20,20,EURUSD,sell,in,0.10, 1.22637,20,0.00,0.00,0.00,4 270.10,,
2018.02.19 04:00:00,21,EURUSD,buy,out,0.10, 1.24339,21,0.00,- 0.70,- 170.20,4 099.20,,
2018.02.23 04:26:40,22,EURUSD,sell,in,0.10, 1.23141,22,0.00,0.00,0.00,4 099.20,,
2018.02.23 10:36:40,23,EURUSD,buy,out,0.10, 1.23099,23,0.00,0.00, 4.20,4 103.40,sl 1.23099,
2018.02.26 04:00:40,24,EURUSD,buy,in,0.10, 1.23002,24,0.00,0.00,0.00,4 103.40,,
2018.02.26 12:43:40,25,EURUSD,sell,out,0.10, 1.23501,25,0.00,0.00, 49.90,4 153.30,tp 1.23501,
2018.02.26 16:00:00,26,EURUSD,sell,in,0.10, 1.23050,26,0.00,0.00,0.00,4 153.30,,
2018.02.27 17:05:40,27,EURUSD,buy,out,0.10, 1.22551,27,0.00,- 0.10, 49.90,4 203.10,tp 1.22551,
2018.03.01 17:34:40,28,EURUSD,buy,in,0.10, 1.22015,28,0.00,0.00,0.00,4 203.10,,
2018.03.01 21:56:40,29,EURUSD,sell,out,0.10, 1.22514,29,0.00,0.00, 49.90,4 253.00,tp 1.22514,
2018.03.13 06:43:40,30,EURUSD,sell,in,0.10, 1.23270,30,0.00,0.00,0.00,4 253.00,,
2018.03.16 04:08:40,31,EURUSD,buy,out,0.10, 1.23040,31,0.00,- 0.50, 23.00,4 275.50,,
2018.03.23 15:34:59,32,EURUSD,sell,in,0.10, 1.23251,32,0.00,0.00,0.00,4 275.50,,
2018.03.28 02:00:00,33,EURUSD,buy,out,0.10, 1.24062,33,0.00,- 0.30,- 81.10,4 194.10,,
2018.04.05 14:00:00,34,EURUSD,buy,in,0.10, 1.22799,34,0.00,0.00,0.00,4 194.10,,
2018.04.09 03:07:40,35,EURUSD,sell,out,0.10, 1.22688,35,0.00,- 0.14,- 11.10,4 182.86,,
2018.04.13 16:44:40,36,EURUSD,buy,in,0.10, 1.23312,36,0.00,0.00,0.00,4 182.86,,
2018.04.16 15:54:40,37,EURUSD,sell,out,0.10, 1.23811,37,0.00,- 0.07, 49.90,4 232.69,tp 1.23811,
2018.04.30 10:39:40,38,EURUSD,sell,in,0.10, 1.21085,38,0.00,0.00,0.00,4 232.69,,
