Open Time,Order,Symbol,Type,Volume,,Price,S / L,T / P,Time,,State,Comment,
2018.01.08 03:09:40,2,EURUSD,buy,0.10 / 0.10,, 1.20468,, 1.20967,2018.01.08 03:09:40,,filled,,
2018.01.10 20:00:00,3,EURUSD,sell,0.10 / 0.10,, 1.19601,,,2018.01.10 20:00:00,,filled,,
2018.01.10 20:00:20,4,EURUSD,sell,0.10 / 0.10,, 1.19592,, 1.19093,2018.01.10 20:00:20,,filled,,
2018.01.17 18:00:00,5,EURUSD,buy,0.10 / 0.10,, 1.22420,,,2018.01.17 18:00:00,,filled,,
2018.01.17 18:00:20,6,EURUSD,buy,0.10 / 0.10,, 1.22429,, 1.22928,2018.01.17 18:00:20,,filled,,
2018.01.17 21:37:20,7,EURUSD,sell,0.10 / 0.10,, 1.22581,,,2018.01.17 21:37:20,,filled,sl 1.22581,
2018.01.19 15:04:40,8,EURUSD,sell,0.10 / 0.10,, 1.22507,, 1.22008,2018.01.19 15:04:40,,filled,,
2018.01.22 00:00:00,9,EURUSD,buy,0.10 / 0.10,, 1.22450,,,2018.01.22 00:00:00,,filled,sl 1.22450,
2018.01.22 10:09:20,10,EURUSD,buy,0.10 / 0.10,, 1.22458,, 1.22957,2018.01.22 10:09:20,,filled,,
2018.01.23 07:00:00,11,EURUSD,sell,0.10 / 0.10,, 1.22596,,,2018.01.23 07:00:00,,filled,,
2018.01.23 07:29:40,12,EURUSD,sell,0.10 / 0.10,, 1.22517,, 1.22018,2018.01.23 07:29:40,,filled,,
2018.01.29 09:07:40,13,EURUSD,buy,0.10 / 0.10,, 1.24271,,,2018.01.29 09:07:40,,filled,,
2018.01.29 09:08:20,14,EURUSD,buy,0.10 / 0.10,, 1.24290,, 1.24789,2018.01.29 09:08:20,,filled,,
2018.01.30 20:08:40,15,EURUSD,sell,0.10 / 0.10,, 1.23988,,,2018.01.30 20:08:40,,filled,,
2018.01.30 20:09:40,16,EURUSD,sell,0.10 / 0.10,, 1.23956,, 1.23457,2018.01.30 20:09:40,,filled,,
2018.02.05 04:45:20,17,EURUSD,buy,0.10 / 0.10,, 1.24592,,,2018.02.05 04:45:20,,filled,,
2018.02.06 19:07:40,18,EURUSD,buy,0.10 / 0.10,, 1.23869,, 1.24368,2018.02.06 19:07:40,,filled,,
2018.02.12 12:00:00,19,EURUSD,sell,0.10 / 0.10,, 1.22637,,,2018.02.12 12:00:00,,filled,,
2018.02.12 12:00:20,20,EURUSD,sell,0.10 / 0.10,, 1.22637,, 1.22138,2018.02.12 12:00:20,,filled,,
2018.02.19 04:00:00,21,EURUSD,buy,0.10 / 0.10,, 1.24339,,,2018.02.19 04:00:00,,filled,,
2018.02.23 04:26:40,22,EURUSD,sell,0.10 / 0.10,, 1.23141,, 1.22642,2018.02.23 04:26:40,,filled,,
2018.02.23 10:36:40,23,EURUSD,buy,0.10 / 0.10,, 1.23099,,,2018.02.23 10:36:40,,filled,sl 1.23099,
2018.02.26 04:00:40,24,EURUSD,buy,0.10 / 0.10,, 1.23002,, 1.23501,2018.02.26 04:00:40,,filled,,
2018.02.26 12:43:40,25,EURUSD,sell,0.10 / 0.10,, 1.23501,,,2018.02.26 12:43:40,,filled,tp 1.23501,
2018.02.26 16:00:00,26,EURUSD,sell,0.10 / 0.10,, 1.23050,, 1.22551,2018.02.26 16:00:00,,filled,,
2018.02.27 17:05:40,27,EURUSD,buy,0.10 / 0.10,, 1.22551,,,2018.02.27 17:05:40,,filled,tp 1.22551,
2018.03.01 17:34:40,28,EURUSD,buy,0.10 / 0.10,, 1.22015,, 1.22514,2018.03.01 17:34:40,,filled,,
2018.03.01 21:56:40,29,EURUSD,sell,0.10 / 0.10,, 1.22514,,,2018.03.01 21:56:40,,filled,tp 1.22514,
2018.03.13 06:43:40,30,EURUSD,sell,0.10 / 0.10,, 1.23270,, 1.22771,2018.03.13 06:43:40,,filled,,
2018.03.16 04:08:40,31,EURUSD,buy,0.10 / 0.10,, 1.23040,,,2018.03.16 04:08:40,,filled,,
2018.03.23 15:34:59,32,EURUSD,sell,0.10 / 0.10,, 1.23251,, 1.22752,2018.03.23 15:34:59,,filled,,
2018.03.28 02:00:00,33,EURUSD,buy,0.10 / 0.10,, 1.24062,,,2018.03.28 02:00:00,,filled,,
