,date_time,currency,impact,name,actual,forecast,previous
0,2007-12-02 19:30:00,AUD,High Impact Expected,Trade Balance,-2.98,-1.88,-1.92
1,2007-12-03 10:00:00,USD,High Impact Expected,ISM Manufacturing PMI,50.8,50.5,50.9
2,2007-12-03 19:30:00,AUD,High Impact Expected,Building Approvals m/m,-2.8,-1.9,8.6
3,2007-12-03 19:30:00,AUD,High Impact Expected,Retail Sales m/m,0.2,0.6,0.7
4,2007-12-04 09:00:00,CAD,High Impact Expected,BOC Rate Statement,0.0,0.0,0.0
5,2007-12-04 09:00:00,CAD,High Impact Expected,Overnight Rate,4.25,4.5,4.5
6,2007-12-04 17:30:00,AUD,High Impact Expected,Cash Rate,6.75,6.75,6.75
7,2007-12-04 17:30:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,0.0,0.0,0.0
8,2007-12-04 17:30:00,AUD,High Impact Expected,RBA Rate Statement,0.0,0.0,0.0
9,2007-12-04 19:30:00,AUD,High Impact Expected,GDP q/q,1.0,1.0,0.7
10,2007-12-05 03:00:00,GBP,High Impact Expected,Halifax HPI m/m,-1.1,0.0,-0.7
11,2007-12-05 08:15:00,USD,High Impact Expected,ADP Non-Farm Employment Change,189.0,50.0,119.0
12,2007-12-05 10:00:00,USD,High Impact Expected,ISM Non-Manufacturing PMI,54.1,55.0,55.8
13,2007-12-05 15:00:00,NZD,High Impact Expected,Official Cash Rate,8.25,8.25,8.25
14,2007-12-05 15:00:00,NZD,High Impact Expected,RBNZ Press Conference,0.0,0.0,0.0
15,2007-12-05 15:00:00,NZD,High Impact Expected,RBNZ Rate Statement,0.0,0.0,0.0
16,2007-12-06 04:30:00,GBP,High Impact Expected,Manufacturing Production m/m,0.3,0.2,-0.6
17,2007-12-06 07:00:00,GBP,High Impact Expected,MPC Rate Statement,0.0,0.0,0.0
18,2007-12-06 07:00:00,GBP,High Impact Expected,Official Bank Rate,5.5,5.75,5.75
19,2007-12-06 07:30:00,USD,High Impact Expected,FOMC Member Kroszner Speaks,0.0,0.0,0.0
20,2007-12-06 08:30:00,EUR,High Impact Expected,ECB Press Conference,0.0,0.0,0.0
21,2007-12-06 10:00:00,CAD,High Impact Expected,Ivey PMI,58.7,55.0,57.1
22,2007-12-07 07:00:00,CAD,High Impact Expected,Employment Change,42.6,8.0,63.0
23,2007-12-07 07:00:00,CAD,High Impact Expected,Unemployment Rate,5.9,5.9,5.8
24,2007-12-07 08:30:00,USD,High Impact Expected,Non-Farm Employment Change,94.0,75.0,170.0
25,2007-12-07 08:30:00,USD,High Impact Expected,Unemployment Rate,4.7,4.8,4.7
26,2007-12-07 10:00:00,USD,High Impact Expected,Prelim UoM Consumer Sentiment,74.5,75.0,76.1
27,2007-12-10 04:30:00,GBP,High Impact Expected,PPI Input m/m,1.7,1.4,1.8
28,2007-12-10 08:15:00,CAD,High Impact Expected,Housing Starts,228.0,220.0,228.0
29,2007-12-10 10:00:00,USD,High Impact Expected,Pending Home Sales m/m,0.6,-1.0,1.4
30,2007-12-10 21:50:00,CNY,High Impact Expected,USD-Denominated Trade Balance,26.3,26.6,27.1
31,2007-12-11 02:00:00,AUD,High Impact Expected,RBA Gov Stevens Speaks,0.0,0.0,0.0
32,2007-12-11 14:15:00,USD,High Impact Expected,FOMC Statement,0.0,0.0,0.0
33,2007-12-11 14:15:00,USD,High Impact Expected,Federal Funds Rate,4.25,4.25,4.5
34,2007-12-12 04:30:00,GBP,High Impact Expected,Average Earnings Index 3m/y,4.0,4.2,4.1
35,2007-12-12 08:30:00,CAD,High Impact Expected,Trade Balance,3.3,2.3,2.8
36,2007-12-12 08:30:00,USD,High Impact Expected,Fed Announcement,0.0,0.0,0.0
37,2007-12-12 08:30:00,USD,High Impact Expected,Trade Balance,-57.8,-57.3,-57.1
38,2007-12-12 16:45:00,NZD,High Impact Expected,Core Retail Sales m/m,-1.1,0.0,0.4
39,2007-12-12 16:45:00,NZD,High Impact Expected,Retail Sales m/m,-0.7,0.0,1.0
40,2007-12-12 19:30:00,AUD,High Impact Expected,Employment Change,52.6,20.0,-6.9
41,2007-12-12 21:00:00,CNY,High Impact Expected,Industrial Production y/y,17.3,18.2,17.9
42,2007-12-13 03:30:00,CHF,High Impact Expected,Libor Rate,2.75,2.75,2.75
43,2007-12-13 03:30:00,CHF,High Impact Expected,SNB Monetary Policy Assessment,0.0,0.0,0.0
44,2007-12-13 03:30:00,CHF,High Impact Expected,SNB Press Conference,0.0,0.0,0.0
45,2007-12-13 08:30:00,USD,High Impact Expected,Core Retail Sales m/m,1.8,0.6,0.4
46,2007-12-13 08:30:00,USD,High Impact Expected,PPI m/m,3.2,1.6,0.1
47,2007-12-13 08:30:00,USD,High Impact Expected,Retail Sales m/m,1.2,0.5,0.2
48,2007-12-13 18:50:00,JPY,High Impact Expected,Tankan Manufacturing Index,19.0,21.0,23.0
49,2007-12-14 08:30:00,USD,High Impact Expected,Core CPI m/m,0.3,0.2,0.2
50,2007-12-17 09:00:00,USD,High Impact Expected,TIC Long-Term Purchases,114.0,49.0,15.4
51,2007-12-17 19:30:00,AUD,High Impact Expected,Monetary Policy Meeting Minutes,0.0,0.0,0.0
52,2007-12-18 03:15:00,CHF,High Impact Expected,Retail Sales y/y,6.1,5.1,3.0
53,2007-12-18 04:30:00,GBP,High Impact Expected,CPI y/y,2.1,2.2,2.1
54,2007-12-18 05:35:00,GBP,High Impact Expected,BOE Gov King Speaks,0.0,0.0,0.0
55,2007-12-18 07:00:00,CAD,High Impact Expected,Core CPI m/m,0.0,0.2,-0.2
56,2007-12-18 08:30:00,USD,High Impact Expected,Building Permits,1.15,1.15,1.17
57,2007-12-19 04:00:00,EUR,High Impact Expected,ECB President Trichet Speaks,0.0,0.0,0.0
58,2007-12-19 04:00:00,EUR,High Impact Expected,German Ifo Business Climate,103.0,103.8,104.2
59,2007-12-19 04:30:00,GBP,High Impact Expected,MPC Official Bank Rate Votes,0.0,0.0,0.0
60,2007-12-19 16:45:00,NZD,High Impact Expected,Current Account,-5.17,-4.92,-2.99
61,2007-12-20 02:17:00,JPY,High Impact Expected,BOJ Press Conference,0.0,0.0,0.0
62,2007-12-20 04:30:00,GBP,High Impact Expected,Current Account,-20.0,-11.3,-13.7
63,2007-12-20 16:45:00,NZD,High Impact Expected,GDP q/q,0.5,0.4,0.8
64,2007-12-21 04:30:00,GBP,High Impact Expected,Retail Sales m/m,0.4,0.2,0.0
65,2007-12-21 08:30:00,CAD,High Impact Expected,Core Retail Sales m/m,0.0,0.0,0.2
66,2007-12-21 08:30:00,CAD,High Impact Expected,GDP m/m,0.2,0.1,0.1
67,2007-12-27 08:30:00,USD,High Impact Expected,Core Durable Goods Orders m/m,-0.7,0.5,-0.9
68,2007-12-27 10:00:00,USD,High Impact Expected,CB Consumer Confidence,88.6,86.5,87.8
69,2007-12-28 10:00:00,USD,High Impact Expected,New Home Sales,647.0,718.0,711.0
70,2007-12-31 10:00:00,USD,High Impact Expected,Existing Home Sales,5.0,4.97,4.98
71,2007-12-31 20:00:00,CNY,High Impact Expected,Manufacturing PMI,55.3,0.0,55.4
72,2007-01-02 10:00:00,USD,High Impact Expected,ISM Manufacturing PMI,47.7,50.7,50.8
73,2007-01-02 14:00:00,USD,High Impact Expected,FOMC Meeting Minutes,0.0,0.0,0.0
74,2007-01-03 08:15:00,USD,High Impact Expected,ADP Non-Farm Employment Change,40.0,45.0,173.0
75,2007-01-04 01:45:00,CHF,High Impact Expected,CPI m/m,0.2,0.1,0.5
76,2007-01-04 08:30:00,USD,High Impact Expected,Non-Farm Employment Change,18.0,70.0,115.0
77,2007-01-04 08:30:00,USD,High Impact Expected,Unemployment Rate,5.0,4.8,4.7
78,2007-01-04 10:00:00,CAD,High Impact Expected,Ivey PMI,45.9,51.5,58.7
79,2007-01-04 10:00:00,USD,High Impact Expected,ISM Non-Manufacturing PMI,53.9,53.5,54.1
80,2008-01-06 16:45:00,NZD,High Impact Expected,Trade Balance,-646.0,-473.0,-717.0
81,2008-01-07 19:30:00,AUD,High Impact Expected,Building Approvals m/m,8.9,0.0,-3.6
82,2008-01-08 03:00:00,GBP,High Impact Expected,Halifax HPI m/m,1.3,-0.5,-1.1
83,2008-01-08 10:00:00,USD,High Impact Expected,Pending Home Sales m/m,-2.6,-0.7,3.7
84,2008-01-08 19:30:00,AUD,High Impact Expected,Retail Sales m/m,0.8,0.5,0.3
85,2008-01-09 08:15:00,CAD,High Impact Expected,Housing Starts,188.0,220.0,233.0
86,2008-01-09 19:30:00,AUD,High Impact Expected,Trade Balance,-2.25,-2.54,-2.86
87,2008-01-10 07:00:00,GBP,High Impact Expected,Official Bank Rate,5.5,5.5,5.5
88,2008-01-10 08:30:00,EUR,High Impact Expected,ECB Press Conference,0.0,0.0,0.0
89,2008-01-10 12:16:00,USD,High Impact Expected,Fed Chairman Bernanke Speaks,0.0,0.0,0.0
